country,iso2,iso3,iso_numeric,g_whoregion,year,rep_meth,new_sp_coh,new_sp_cur,new_sp_cmplt,new_sp_died,new_sp_fail,new_sp_def,c_new_sp_tsr,new_snep_coh,new_snep_cmplt,new_snep_died,new_snep_fail,new_snep_def,c_new_snep_tsr,ret_coh,ret_cur,ret_cmplt,ret_died,ret_fail,ret_def,hiv_new_sp_coh,hiv_new_sp_cur,hiv_new_sp_cmplt,hiv_new_sp_died,hiv_new_sp_fail,hiv_new_sp_def,hiv_new_snep_coh,hiv_new_snep_cmplt,hiv_new_snep_died,hiv_new_snep_fail,hiv_new_snep_def,hiv_ret_coh,hiv_ret_cur,hiv_ret_cmplt,hiv_ret_died,hiv_ret_fail,hiv_ret_def,rel_with_new_flg,newrel_coh,newrel_succ,newrel_fail,newrel_died,newrel_lost,c_new_tsr,ret_nrel_coh,ret_nrel_succ,ret_nrel_fail,ret_nrel_died,ret_nrel_lost,c_ret_tsr,tbhiv_coh,tbhiv_succ,tbhiv_fail,tbhiv_died,tbhiv_lost,c_tbhiv_tsr,mdr_coh,mdr_succ,mdr_fail,mdr_died,mdr_lost,xdr_coh,xdr_succ,xdr_fail,xdr_died,xdr_lost
India,IN,IND,356,SEA,1994,100,1026,845,9,40,27,57,83,,,,,,,376,283,4,19,10,19,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,76,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,1995,100,264722,1578,64938,70,70,158,25,,,,,,,551,355,32,24,17,74,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,70,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,1996,100,291111,4855,57233,228,262,645,21,,,,,,,2408,1528,81,135,187,312,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,67,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,1997,100,293483,6183,47642,270,259,668,18,,,,,,,2306,1434,70,170,129,339,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,65,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,1998,100,284063,15530,60932,754,534,6365,27,,,,,,,5782,3419,767,373,316,805,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,72,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,1999,100,345018,62991,10835,3060,2209,20152,21,,,,,,,23204,12462,3611,1634,1253,3911,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,69,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2000,100,349328,106692,13655,4825,3515,23252,34,,,,,,,48133,26487,7132,3258,2452,7661,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,70,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2001,100,384073,187700,19949,9207,6711,34285,54,,,,,,,114541,46521,19633,5435,4617,22287,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,58,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2002,100,395557,226582,9636,11410,6771,27088,60,,,,,,,84078,57442,2748,6084,5144,12064,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,72,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2003,100,419961,310971,7533,17110,9073,25192,76,,,,,,,112458,74616,4557,8634,6679,17282,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,70,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2004,100,489195,391348,10768,20579,11159,31366,82,576958,466353,17094,3441,37345,81,198298,98209,45623,13479,8798,29181,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,73,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2005,100,507204,422692,11666,22915,11950,34847,86,563585,496452,18052,3284,42847,88,224143,105594,54477,15653,10025,35430,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,71,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2006,100,553302,463548,11728,25470,12505,35365,86,584130,513519,18682,3209,42500,88,259130,117828,67709,18420,10943,39698,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,72,,,,,,,,,,,,,,,,
India,IN,IND,356,SEA,2007,100,592414,497893,14613,26858,11960,35392,87,606181,538111,18423,2762,39524,89,193364,121731,4353,14990,9873,28727,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,65,,,,,,,62,32,6,12,12,,,,,
India,IN,IND,356,SEA,2008,100,615977,520992,15350,26865,11970,35469,87,610089,545111,18976,2606,36573,89,289285,130287,84434,20154,10861,37665,2084,1456,53,350,39,104,,,,,,,,,,,,,,,,,,88,,,,,,74,,,,,,72,190,83,25,40,42,0,0,0,0,0
India,IN,IND,356,SEA,2009,100,624617,531374,15368,27005,12467,35005,88,618935,556497,19952,2579,35084,90,289756,131808,84315,20409,11886,37582,12275,8795,282,2183,267,593,,,,,,,,,,,,,,,,,,89,,,,,,75,,,,,,74,1172,582,81,238,254,,,,,
India,IN,IND,356,SEA,2010,100,630165,536006,16286,26293,11864,34935,88,599010,540148,17790,2285,33079,90,292972,130803,87081,20447,11663,37883,13778,10171,281,2128,249,720,,,,,,,,,,,,,,,,,,89,,,,,,74,,,,,,76,2182,1041,200,483,409,,,,,
India,IN,IND,356,SEA,2011,100,642321,544731,18644,26141,12289,35079,88,567168,512699,16605,1434,30035,90,304431,132064,95592,20468,11053,37140,,,,,,,,,,,,14640,2567,8479,1957,239,1207,,,,,,,89,,,,,,75,,,,,,75,3378,1679,244,765,574,0,,,,
India,IN,IND,356,SEA,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1288141,1129801,17169,50204,75290,88,177695,132225,4802,11673,22659,74,45911,35493,570,6092,2994,77,14051,6433,1055,3029,2869,129,41,4,61,17
India,IN,IND,356,SEA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1243905,1090159,16502,50708,69851,88,171712,113330,6868,13737,25757,66,44027,33506,532,5891,2716,76,21093,9742,1507,4531,4154,392,131,22,178,33
India,IN,IND,356,SEA,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1609547,1196147,14507,56674,76429,74,74368,48136,2884,6575,13726,65,44257,33744,495,5786,2549,76,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,642321,567168,1209489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.531068079,0.468931921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
